Kecamatan,Jumlah Karyawan,Aset,Omset,Tahun Berdiri,Keterangan,,,,,,,,,,,,
Antapani,2,-,60000000,1999,Mikro,,,,,,,,,,,,
Antapani,4,250000000,60000000,1998,Kecil,,,,,,,,,,,,
Antapani,1,7300000,54000000,2006,Mikro,,,,,,,,,,,,
Antapani,2,1000000,48000000,2006,Mikro,,,,,,,,,,,,
Antapani,2,-,36000000,2004,Mikro,,,,,,,,,,,,
Antapani,2,-,36000000,2007,Mikro,,,,,,,,,,,,
Antapani,6,4300000,36000000,2007,Mikro,,,,,,,,,,,,
Antapani,2,1500000,24000000,2000,Mikro,,,,,,,,,,,,
Antapani,1,7500000,18000000,2002,Mikro,,,,,,,,,,,,
Antapani,10,-,18000000,2004,Mikro,,,,,,,,,,,,
Antapani,0,-,18000000,1995,Mikro,,,,,,,,,,,,
Antapani,1,2000000,12000000,1985,Mikro,,,,,,,,,,,,
Antapani,0,-,9600000,2002,Mikro,,,,,,,,,,,,
Antapani,0,-,7200000,-,Mikro,,,,,,,,,,,,
Antapani,2,-,3600000,1998,Mikro,,,,,,,,,,,,
Antapani,0,300000000,3600000,2005,Kecil,,,,,,,,,,,,
Antapani,4,-,-,1994,Mikro,,,,,,,,,,,,
Antapani,2,-,-,-,Mikro,,,,,,,,,,,,
Antapani,0,300000,-,1995,Mikro,,,,,,,,,,,,
Antapani,3,-,-,2004,Mikro,,,,,,,,,,,,
Antapani,0,-,-,2005,Mikro,,,,,,,,,,,,
Antapani,4,5000000,-,1987,Mikro,,,,,,,,,,,,
Antapani,6,-,-,1992,Mikro,,,,,,,,,,,,
Antapani,8,-,-,1995,Mikro,,,,,,,,,,,,
Antapani,8,-,-,1981,Mikro,,,,,,,,,,,,
Antapani,0,-,-,2000,Mikro,,,,,,,,,,,,
Antapani,8,-,-,1993,Mikro,,,,,,,,,,,,
Antapani,0,-,-,1997,Mikro,,,,,,,,,,,,
Antapani,0,-,-,2000,Mikro,,,,,,,,,,,,
Antapani,0,-,-,1994,Mikro,,,,,,,,,,,,
Antapani,1,-,-,1995,Mikro,,,,,,,,,,,,
Antapani,0,-,-,2006,Mikro,,,,,,,,,,,,
Antapani,7,-,-,2005,Mikro,,,,,,,,,,,,
Antapani,20,280000000,1800000000,1990,Kecil,,,,,,,,,,,,
Antapani,6,-,600000000,2001,Kecil,,,,,,,,,,,,
Antapani,4,5000000,480000000,2007,Mikro,,,,,,,,,,,,
Antapani,1,-,408000000,1994,Kecil,,,,,,,,,,,,
Antapani,5,9700000,360000000,1992,Mikro,,,,,,,,,,,,
Antapani,3,300000000,360000000,1999,Kecil,,,,,,,,,,,,
Antapani,6,150000000,360000000,1992,Kecil,,,,,,,,,,,,
Antapani,4,-,96000000,-,Mikro,,,,,,,,,,,,
Antapani,2,50000000,25000000,-,Mikro,,,,,,,,,,,,
Antapani,4,-,60000000,-,Mikro,,,,,,,,,,,,
Antapani,34,200000000,169250000,-,Kecil,,,,,,,,,,,,
Antapani,1,400000,7200000,-,Mikro,,,,,,,,,,,,
