Kecamatan,Jumlah Karyawan,Aset,Omset,Lama Berdiri(Tahun),Kategori Usaha
Astanaanyar,0,3000000.0,2400000.0,34.0,Mikro
Astanaanyar,2,4000000.0,2400000.0,29.0,Mikro
Astanaanyar,0,3000000.0,2400000.0,29.0,Mikro
Astanaanyar,0,3000000.0,2400000.0,29.0,Mikro
Astanaanyar,0,3000000.0,9000000.0,32.0,Mikro
Astanaanyar,0,3000000.0,9000000.0,29.0,Mikro
Astanaanyar,0,3000000.0,4200000.0,24.0,Mikro
Astanaanyar,0,3000000.0,4200000.0,24.0,Mikro
Astanaanyar,9,5600000.0,240000000.0,29.0,Mikro
Astanaanyar,5,39500000.0,144000000.0,24.0,Mikro
Astanaanyar,5,600000.0,48000000.0,19.0,Mikro
Astanaanyar,2,14800000.0,30000000.0,27.0,Mikro
Astanaanyar,1,900000.0,12000000.0,39.0,Mikro
Astanaanyar,0,1000000.0,21600000.0,15.0,Mikro
Astanaanyar,4,1500000.0,408000000.0,27.0,Mikro
Astanaanyar,15,2100000.0,120000000.0,18.0,Mikro
Astanaanyar,6,15000000.0,120000000.0,21.0,Mikro
Astanaanyar,10,14000000.0,36000000.0,24.0,Mikro
Astanaanyar,2,16500000.0,3000000.0,19.0,Mikro
Astanaanyar,1,3000000.0,3600000.0,34.0,Mikro
Astanaanyar,2,20000000.0,50000000.0,14.0,Mikro
Astanaanyar,2,4000000.0,8500000.0,38.0,Mikro
Astanaanyar,4,7000000.0,38880000.0,16.0,Mikro
Astanaanyar,5,15000000.0,10000000.0,20.0,Mikro
Astanaanyar,4,100000000.0,360000000.0,14.0,Kecil
Astanaanyar,2,20000000.0,100000000.0,14.0,Mikro
Astanaanyar,2,200000000.0,100000000.0,7.0,Mikro
Astanaanyar,1,5000000.0,216000000.0,17.0,Mikro
Astanaanyar,2,750000.0,144000000.0,39.0,Mikro
Astanaanyar,7,1000000.0,108000000.0,44.0,Mikro
Astanaanyar,4,1500000.0,108000000.0,31.0,Mikro
Astanaanyar,2,300000.0,90000000.0,12.0,Mikro
Astanaanyar,1,2000000.0,72000000.0,29.0,Mikro
Astanaanyar,2,100000.0,72000000.0,43.0,Mikro
Astanaanyar,2,800000.0,72000000.0,16.0,Mikro
Astanaanyar,2,300000.0,72000000.0,14.0,Mikro
Astanaanyar,2,15000000.0,72000000.0,43.0,Mikro
Astanaanyar,1,150000.0,54000000.0,17.0,Mikro
Astanaanyar,1,1500000.0,54000000.0,14.0,Mikro
Astanaanyar,1,400000.0,54000000.0,17.0,Mikro
Astanaanyar,0,700000.0,48000000.0,19.0,Mikro
Astanaanyar,1,1000000.0,36000000.0,24.0,Mikro
Astanaanyar,1,500000.0,36000000.0,19.0,Mikro
Astanaanyar,2,1275000.0,36000000.0,21.0,Mikro
Astanaanyar,2,500000.0,36000000.0,19.0,Mikro
Astanaanyar,1,2500000.0,36000000.0,13.0,Mikro
Astanaanyar,1,400000.0,36000000.0,14.0,Mikro
Astanaanyar,3,400000.0,30000000.0,17.0,Mikro
Astanaanyar,0,3500000.0,27600000.0,16.0,Mikro
Astanaanyar,0,400000.0,24000000.0,12.0,Mikro
Astanaanyar,0,125000.0,18000000.0,12.0,Mikro
Astanaanyar,1,250000.0,18000000.0,31.0,Mikro
Astanaanyar,1,600000.0,9000000.0,13.0,Mikro
Astanaanyar,0,500000.0,7200000.0,12.0,Mikro
Astanaanyar,2,2000000.0,6000000.0,43.0,Mikro
Astanaanyar,2,500000.0,4800000.0,43.0,Mikro
Babakan Ciparay,2,150000000.0,800000000.0,12.0,Kecil
Babakan Ciparay,0,3000000.0,4200000.0,18.0,Mikro
